NodeId	d_1	d_2	clu	clo	n_triad	eig1	eig2
404	15	137	0.057143	0.071006	6	0.034883	0.041777
405	7	100	0.14286	0.054545	3	0.021791	0.031629
406	9	84	0.11111	0.078431	4	0.019289	0.024554
407	8	87	0.17857	0.092593	5	0.021935	0.027371
408	7	85	0.2381	0.08547	5	0.020979	0.024301
409	14	107	0.12088	0.15942	11	0.026172	0.031373
410	13	156	0.051282	0.042781	4	0.038193	0.0468
411	6	60	0.066667	0.032258	1	0.01212	0.01791
412	17	178	0.022059	0.029268	3	0.041664	0.051391
413	11	99	0.10909	0.090226	6	0.024042	0.027535
414	11	107	0.21818	0.16327	12	0.030178	0.03197
415	10	111	0.13333	0.085714	6	0.028666	0.033634
416	8	85	0	0	0	0.02124	0.02673
417	7	71	0.2381	0.10204	5	0.020064	0.021553
418	9	106	0.19444	0.10938	7	0.027807	0.034159
419	11	113	0.10909	0.084507	6	0.033138	0.037398
420	12	128	0.060606	0.04878	4	0.03475	0.039988
421	7	76	0.047619	0.023256	1	0.020627	0.024901
422	15	170	0.047619	0.048544	5	0.047113	0.054298
423	10	82	0.066667	0.059406	3	0.024144	0.026353
424	6	59	0.2	0.075949	3	0.016531	0.018352
425	12	121	0.10606	0.090909	7	0.032527	0.037893
426	8	70	0.035714	0.024096	1	0.017605	0.021635
427	8	101	0.035714	0.017094	1	0.022627	0.030428
428	13	134	0.064103	0.064516	5	0.033321	0.041002
429	11	146	0.10909	0.067797	6	0.035935	0.046038
430	7	63	0.2381	0.11494	5	0.017397	0.018934
431	26	193	0.073846	0.16495	24	0.061781	0.05767
432	18	158	0.1634	0.21186	25	0.049513	0.048845
433	9	113	0.33333	0.14201	12	0.032925	0.032643
434	9	122	0.16667	0.07947	6	0.032347	0.037547
435	11	131	0.072727	0.051948	4	0.029538	0.037506
436	8	96	0.10714	0.053571	3	0.021804	0.029286
437	16	179	0.075	0.081081	9	0.043111	0.050783
438	17	143	0.125	0.17	17	0.043078	0.042603
439	12	139	0.24242	0.16931	16	0.038252	0.041489
440	6	71	0.13333	0.045455	2	0.017204	0.021111
441	27	215	0.071225	0.15576	25	0.071602	0.063681
442	11	148	0.072727	0.045714	4	0.037731	0.046392
443	14	147	0.087912	0.087432	8	0.039831	0.044513
444	19	167	0.081871	0.11336	14	0.058888	0.053058
445	18	192	0.065359	0.079365	10	0.058667	0.060289
446	7	78	0.095238	0.043478	2	0.021722	0.025382
447	12	102	0.075758	0.074074	5	0.029614	0.031407
448	18	152	0.091503	0.12389	14	0.056181	0.049958
449	22	171	0.090909	0.15498	21	0.065738	0.054342
450	6	60	0.2	0.078947	3	0.016383	0.018971
451	11	113	0.2	0.13665	11	0.035149	0.035895
452	13	150	0.076923	0.066667	6	0.037768	0.046505
453	13	141	0.12821	0.10695	10	0.035843	0.041468
454	10	106	0.33333	0.20134	15	0.03055	0.032401
455	10	92	0.22222	0.14925	10	0.027044	0.028056
456	16	134	0.11667	0.15135	14	0.03836	0.040378
457	14	145	0.12088	0.12022	11	0.039459	0.043437
458	15	183	0.07619	0.072398	8	0.047545	0.055729
459	10	104	0.15556	0.10853	7	0.027761	0.03288
460	8	76	0.21429	0.11881	6	0.021153	0.022688
461	11	147	0.14545	0.085561	8	0.036677	0.043046
462	33	221	0.083333	0.23097	44	0.089946	0.066703
463	8	109	0.32143	0.12081	9	0.032093	0.034163
464	9	105	0.22222	0.10884	8	0.032379	0.032067
465	10	152	0.28889	0.12207	13	0.046399	0.046677
466	23	191	0.075099	0.12102	19	0.074945	0.059773
467	18	184	0.091503	0.1129	14	0.056812	0.055712
468	10	102	0.24444	0.14966	11	0.035253	0.033083
469	18	158	0.11765	0.15451	18	0.06021	0.051277
470	15	150	0.18095	0.16239	19	0.057027	0.048722
471	12	134	0.060606	0.047904	4	0.039015	0.041639
472	22	228	0.082251	0.1155	19	0.078316	0.070388
473	9	110	0.36111	0.15758	13	0.041103	0.036495
474	9	94	0.11111	0.064	4	0.028688	0.030504
475	22	178	0.069264	0.1194	16	0.062902	0.055533
476	6	65	0.26667	0.096386	4	0.016186	0.020028
477	6	76	0.26667	0.084211	4	0.017643	0.022265
478	16	151	0.091667	0.11	11	0.042655	0.045461
479	19	218	0.11111	0.12459	19	0.065336	0.066512
480	10	119	0.11111	0.068966	5	0.029593	0.03627
481	9	152	0.13889	0.054348	5	0.03695	0.045791
482	35	242	0.067227	0.20253	40	0.094417	0.072415
483	28	190	0.07672	0.19463	29	0.06865	0.056088
484	8	108	0.14286	0.059701	4	0.026242	0.031977
485	11	122	0.12727	0.08805	7	0.031884	0.037714
486	12	128	0.12121	0.10127	8	0.032561	0.038625
487	7	79	0.095238	0.040404	2	0.021914	0.025297
488	7	80	0.095238	0.043478	2	0.01976	0.024594
489	19	148	0.070175	0.11881	12	0.048104	0.046333
490	10	106	0.044444	0.033058	2	0.026642	0.033196
491	12	152	0.13636	0.095238	9	0.044213	0.048973
492	19	228	0.076023	0.084691	13	0.075268	0.071772
493	14	193	0.12088	0.080586	11	0.064683	0.060315
494	14	158	0.17582	0.13445	16	0.058432	0.050734
495	12	159	0.18182	0.11111	12	0.052706	0.050794
496	6	85	0.26667	0.07619	4	0.025047	0.027582
497	12	122	0.21212	0.15556	14	0.044931	0.040319
498	8	110	0.14286	0.057971	4	0.032631	0.035849
499	7	105	0.28571	0.095238	6	0.025654	0.032908
500	23	186	0.090909	0.17293	23	0.060514	0.057447
501	15	122	0.10476	0.1358	11	0.03402	0.037041
502	11	150	0.072727	0.045198	4	0.037705	0.048068
503	9	97	0.19444	0.10938	7	0.025673	0.029968
504	10	99	0.022222	0.017699	1	0.024546	0.031139
505	9	93	0.055556	0.035714	2	0.023354	0.028205
506	10	131	0.28889	0.14054	13	0.038656	0.039336
507	10	122	0.17778	0.094118	8	0.035807	0.035999
508	9	89	0.13889	0.08547	5	0.025487	0.027001
509	10	79	0.24444	0.19643	11	0.023265	0.023478
